"Title","Description","Link","Owner","Owner Contact","Data Date","Publish Date","Submit Date","Submitter Contact","Format","Licence","Tag","Version"
"Brighton Museums Collection Data","Via API search","http://brightonmuseums.org.uk/open-data/","TBC","TBC","Should be current","Should be current","23/8/2015","@6loss","RSS","Creative Commons BY-NC-SA 4.0","museums",""
"Brighton & Hove Community Insight","Web-only view of local datasets","http://brightonhove.communityinsight.org/","TBC","TBC","TBC","TBC","15/9/2015","@6loss","Web","TBC","",""
